"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","ambiguity"
"15","L1 1","gp",14,"b","0","-","-",3384,"L1",-0.5,0.5
"22","L1 1","gp",3,"c","0","-","-",4156,"L1",0.5,-0.5
"28","L1 1","gp",4,"d","0","-","-",3489,"L1",0.5,0.5
"32","L1 1","gp",7,"c","0","-","-",5264,"L1",0.5,-0.5
"61","L1 1","gp",9,"a","0","-","-",5412,"L1",-0.5,-0.5
"67","L1 1","gp",6,"b","0","-","-",3704,"L1",-0.5,0.5
"74","L1 1","gp",5,"a","0","-","-",6646,"L1",-0.5,-0.5
"88","L1 1","gp",20,"d","0","-","-",6440,"L1",0.5,0.5
"91","L1 1","gp",19,"c","0","-","-",3546,"L1",0.5,-0.5
"99","L1 1","gp",17,"a","0","-","-",4075,"L1",-0.5,-0.5
"105","L1 1","gp",2,"b","0","-","-",3114,"L1",-0.5,0.5
"111","L1 1","gp",12,"d","0","-","-",4900,"L1",0.5,0.5
"115","L1 1","gp",18,"b","0","-","-",4411,"L1",-0.5,0.5
"125","L1 1","gp",1,"a","0","-","-",3168,"L1",-0.5,-0.5
"129","L1 1","gp",10,"b","0","-","-",4849,"L1",-0.5,0.5
"132","L1 1","gp",11,"c","0","-","-",3770,"L1",0.5,-0.5
"135","L1 1","gp",13,"a","0","-","-",7652,"L1",-0.5,-0.5
"139","L1 1","gp",24,"d","0","-","-",5284,"L1",0.5,0.5
"143","L1 1","gp",16,"d","0","-","-",7749,"L1",0.5,0.5
"146","L1 1","gp",21,"a","0","-","-",7780,"L1",-0.5,-0.5
"150","L1 1","gp",22,"b","0","-","-",5617,"L1",-0.5,0.5
"158","L1 1","gp",15,"c","0","-","-",9105,"L1",0.5,-0.5
"170","L1 1","gp",23,"c","0","-","-",4358,"L1",0.5,-0.5
"174","L1 1","gp",8,"d","0","-","-",3081,"L1",0.5,0.5
"194","L1 2","gp",16,"a","0","-","-",7234,"L1",-0.5,-0.5
"201","L1 2","gp",17,"b","0","-","-",4808,"L1",-0.5,0.5
"208","L1 2","gp",4,"a","0","-","-",7346,"L1",-0.5,-0.5
"216","L1 2","gp",15,"d","0","-","-",3568,"L1",0.5,0.5
"222","L1 2","gp",2,"c","0","-","-",4187,"L1",0.5,-0.5
"229","L1 2","gp",10,"c","0","-","-",5184,"L1",0.5,-0.5
"240","L1 2","gp",6,"c","0","-","-",9151,"L1",0.5,-0.5
"246","L1 2","gp",19,"d","0","-","-",7389,"L1",0.5,0.5
"260","L1 2","gp",20,"a","0","-","-",5120,"L1",-0.5,-0.5
"264","L1 2","gp",14,"c","0","-","-",15480,"L1",0.5,-0.5
"268","L1 2","gp",8,"a","0","-","-",6755,"L1",-0.5,-0.5
"274","L1 2","gp",1,"b","0","-","-",2699,"L1",-0.5,0.5
"285","L1 2","gp",12,"a","0","-","-",3499,"L1",-0.5,-0.5
"288","L1 2","gp",24,"a","0","-","-",4612,"L1",-0.5,-0.5
"292","L1 2","gp",3,"d","0","-","-",4289,"L1",0.5,0.5
"296","L1 2","gp",23,"d","0","-","-",4385,"L1",0.5,0.5
"306","L1 2","gp",9,"b","0","-","-",2218,"L1",-0.5,0.5
"313","L1 2","gp",5,"b","0","-","-",5668,"L1",-0.5,0.5
"323","L1 2","gp",11,"d","0","-","-",2194,"L1",0.5,0.5
"341","L1 2","gp",21,"b","0","-","-",2691,"L1",-0.5,0.5
"344","L1 2","gp",18,"c","0","-","-",4779,"L1",0.5,-0.5
"347","L1 2","gp",22,"c","0","-","-",6143,"L1",0.5,-0.5
"351","L1 2","gp",13,"b","0","-","-",4196,"L1",-0.5,0.5
"358","L1 2","gp",7,"d","0","-","-",5453,"L1",0.5,0.5
"378","L1 3","gp",4,"b","0","-","-",7373,"L1",-0.5,0.5
"381","L1 3","gp",20,"b","0","-","-",5470,"L1",-0.5,0.5
"393","L1 3","gp",12,"b","0","-","-",7412,"L1",-0.5,0.5
"400","L1 3","gp",18,"d","0","-","-",5686,"L1",0.5,0.5
"404","L1 3","gp",22,"d","0","-","-",9656,"L1",0.5,0.5
"408","L1 3","gp",9,"c","0","-","-",12911,"L1",0.5,-0.5
"411","L1 3","gp",6,"d","0","-","-",5195,"L1",0.5,0.5
"426","L1 3","gp",13,"c","0","-","-",19741,"L1",0.5,-0.5
"429","L1 3","gp",24,"b","0","-","-",4475,"L1",-0.5,0.5
"435","L1 3","gp",15,"a","0","-","-",11292,"L1",-0.5,-0.5
"447","L1 3","gp",23,"a","0","-","-",10354,"L1",-0.5,-0.5
"455","L1 3","gp",1,"c","0","-","-",11076,"L1",0.5,-0.5
"470","L1 3","gp",14,"d","0","-","-",7494,"L1",0.5,0.5
"477","L1 3","gp",7,"a","0","-","-",10055,"L1",-0.5,-0.5
"481","L1 3","gp",16,"b","0","-","-",5230,"L1",-0.5,0.5
"498","L1 3","gp",11,"a","0","-","-",11376,"L1",-0.5,-0.5
"501","L1 3","gp",21,"c","0","-","-",6568,"L1",0.5,-0.5
"507","L1 3","gp",19,"a","0","-","-",14297,"L1",-0.5,-0.5
"518","L1 3","gp",5,"c","0","-","-",8437,"L1",0.5,-0.5
"524","L1 3","gp",3,"a","0","-","-",9621,"L1",-0.5,-0.5
"528","L1 3","gp",10,"d","0","-","-",14435,"L1",0.5,0.5
"531","L1 3","gp",17,"c","0","-","-",12319,"L1",0.5,-0.5
"534","L1 3","gp",8,"b","0","-","-",4599,"L1",-0.5,0.5
"537","L1 3","gp",2,"d","0","-","-",3891,"L1",0.5,0.5
"558","L1 4","gp",11,"b","0","-","-",2231,"L1",-0.5,0.5
"561","L1 4","gp",12,"c","0","-","-",3115,"L1",0.5,-0.5
"570","L1 4","gp",21,"d","0","-","-",3842,"L1",0.5,0.5
"573","L1 4","gp",24,"c","0","-","-",4754,"L1",0.5,-0.5
"577","L1 4","gp",17,"d","0","-","-",2057,"L1",0.5,0.5
"584","L1 4","gp",6,"a","0","-","-",2830,"L1",-0.5,-0.5
"594","L1 4","gp",4,"c","0","-","-",2963,"L1",0.5,-0.5
"598","L1 4","gp",16,"c","0","-","-",3635,"L1",0.5,-0.5
"602","L1 4","gp",2,"a","0","-","-",3400,"L1",-0.5,-0.5
"606","L1 4","gp",15,"b","0","-","-",3273,"L1",-0.5,0.5
"613","L1 4","gp",8,"c","0","-","-",3875,"L1",0.5,-0.5
"627","L1 4","gp",14,"a","0","-","-",2550,"L1",-0.5,-0.5
"631","L1 4","gp",23,"b","0","-","-",2666,"L1",-0.5,0.5
"637","L1 4","gp",13,"d","0","-","-",6078,"L1",0.5,0.5
"644","L1 4","gp",22,"a","0","-","-",3316,"L1",-0.5,-0.5
"651","L1 4","gp",7,"b","0","-","-",2191,"L1",-0.5,0.5
"655","L1 4","gp",1,"d","0","-","-",2340,"L1",0.5,0.5
"662","L1 4","gp",20,"c","0","-","-",2317,"L1",0.5,-0.5
"669","L1 4","gp",3,"b","0","-","-",2338,"L1",-0.5,0.5
"672","L1 4","gp",9,"d","0","-","-",4530,"L1",0.5,0.5
"687","L1 4","gp",10,"a","0","-","-",2998,"L1",-0.5,-0.5
"693","L1 4","gp",18,"a","0","-","-",1874,"L1",-0.5,-0.5
"700","L1 4","gp",5,"d","0","-","-",4477,"L1",0.5,0.5
"707","L1 4","gp",19,"b","0","-","-",2379,"L1",-0.5,0.5
"737","L1 5","gp",19,"c","0","-","-",3241,"L1",0.5,-0.5
"746","L1 5","gp",4,"d","0","-","-",4760,"L1",0.5,0.5
"749","L1 5","gp",7,"c","0","-","-",4277,"L1",0.5,-0.5
"756","L1 5","gp",16,"d","0","-","-",3505,"L1",0.5,0.5
"764","L1 5","gp",1,"a","0","-","-",2999,"L1",-0.5,-0.5
"770","L1 5","gp",2,"b","0","-","-",4890,"L1",-0.5,0.5
"777","L1 5","gp",3,"c","0","-","-",6004,"L1",0.5,-0.5
"780","L1 5","gp",18,"b","0","-","-",3585,"L1",-0.5,0.5
"790","L1 5","gp",23,"c","0","-","-",3447,"L1",0.5,-0.5
"797","L1 5","gp",21,"a","0","-","-",2526,"L1",-0.5,-0.5
"807","L1 5","gp",13,"a","0","-","-",6581,"L1",-0.5,-0.5
"819","L1 5","gp",8,"d","0","-","-",3864,"L1",0.5,0.5
"822","L1 5","gp",15,"c","0","-","-",2722,"L1",0.5,-0.5
"826","L1 5","gp",14,"b","0","-","-",4740,"L1",-0.5,0.5
"834","L1 5","gp",24,"d","0","-","-",4165,"L1",0.5,0.5
"841","L1 5","gp",6,"b","0","-","-",5734,"L1",-0.5,0.5
"844","L1 5","gp",22,"b","0","-","-",4039,"L1",-0.5,0.5
"852","L1 5","gp",11,"c","0","-","-",2709,"L1",0.5,-0.5
"863","L1 5","gp",10,"b","0","-","-",3259,"L1",-0.5,0.5
"872","L1 5","gp",17,"a","0","-","-",2410,"L1",-0.5,-0.5
"876","L1 5","gp",5,"a","0","-","-",2118,"L1",-0.5,-0.5
"884","L1 5","gp",9,"a","0","-","-",3016,"L1",-0.5,-0.5
"887","L1 5","gp",20,"d","0","-","-",2237,"L1",0.5,0.5
"897","L1 5","gp",12,"d","0","-","-",3706,"L1",0.5,0.5
"914","L1 6","gp",5,"b","0","-","-",4361,"L1",-0.5,0.5
"918","L1 6","gp",11,"d","0","-","-",2906,"L1",0.5,0.5
"931","L1 6","gp",6,"c","0","-","-",4961,"L1",0.5,-0.5
"941","L1 6","gp",2,"c","0","-","-",7443,"L1",0.5,-0.5
"944","L1 6","gp",10,"c","0","-","-",4597,"L1",0.5,-0.5
"947","L1 6","gp",17,"b","0","-","-",3031,"L1",-0.5,0.5
"954","L1 6","gp",15,"d","0","-","-",3339,"L1",0.5,0.5
"962","L1 6","gp",20,"a","0","-","-",2782,"L1",-0.5,-0.5
"969","L1 6","gp",3,"d","0","-","-",3185,"L1",0.5,0.5
"972","L1 6","gp",9,"b","0","-","-",4387,"L1",-0.5,0.5
"983","L1 6","gp",7,"d","0","-","-",3258,"L1",0.5,0.5
"991","L1 6","gp",24,"a","0","-","-",2251,"L1",-0.5,-0.5
"997","L1 6","gp",12,"a","0","-","-",8322,"L1",-0.5,-0.5
"1000","L1 6","gp",13,"b","0","-","-",3419,"L1",-0.5,0.5
"1014","L1 6","gp",8,"a","0","-","-",5270,"L1",-0.5,-0.5
"1018","L1 6","gp",16,"a","0","-","-",4348,"L1",-0.5,-0.5
"1021","L1 6","gp",14,"c","0","-","-",2731,"L1",0.5,-0.5
"1028","L1 6","gp",4,"a","0","-","-",4466,"L1",-0.5,-0.5
"1032","L1 6","gp",23,"d","0","-","-",2822,"L1",0.5,0.5
"1049","L1 6","gp",1,"b","0","-","-",2689,"L1",-0.5,0.5
"1053","L1 6","gp",22,"c","0","-","-",3512,"L1",0.5,-0.5
"1067","L1 6","gp",18,"c","0","-","-",2565,"L1",0.5,-0.5
"1074","L1 6","gp",19,"d","0","-","-",2952,"L1",0.5,0.5
"1078","L1 6","gp",21,"b","0","-","-",3455,"L1",-0.5,0.5
"1095","L1 7","gp",3,"a","0","-","-",5657,"L1",-0.5,-0.5
"1099","L1 7","gp",17,"c","0","-","-",3981,"L1",0.5,-0.5
"1104","L1 7","gp",4,"b","0","-","-",4410,"L1",-0.5,0.5
"1111","L1 7","gp",18,"d","0","-","-",4575,"L1",0.5,0.5
"1114","L1 7","gp",13,"c","0","-","-",6012,"L1",0.5,-0.5
"1117","L1 7","gp",22,"d","0","-","-",3662,"L1",0.5,0.5
"1131","L1 7","gp",1,"c","0","-","-",3848,"L1",0.5,-0.5
"1137","L1 7","gp",7,"a","0","-","-",3109,"L1",-0.5,-0.5
"1144","L1 7","gp",5,"c","0","-","-",5390,"L1",0.5,-0.5
"1148","L1 7","gp",19,"a","0","-","-",7079,"L1",-0.5,-0.5
"1156","L1 7","gp",11,"a","0","-","-",4358,"L1",-0.5,-0.5
"1163","L1 7","gp",9,"c","0","-","-",5155,"L1",0.5,-0.5
"1171","L1 7","gp",15,"a","0","-","-",4431,"L1",-0.5,-0.5
"1178","L1 7","gp",12,"b","0","-","-",3390,"L1",-0.5,0.5
"1185","L1 7","gp",23,"a","0","-","-",7468,"L1",-0.5,-0.5
"1203","L1 7","gp",6,"d","0","-","-",4691,"L1",0.5,0.5
"1206","L1 7","gp",10,"d","0","-","-",2968,"L1",0.5,0.5
"1213","L1 7","gp",16,"b","0","-","-",5496,"L1",-0.5,0.5
"1219","L1 7","gp",2,"d","0","-","-",4309,"L1",0.5,0.5
"1223","L1 7","gp",8,"b","0","-","-",3715,"L1",-0.5,0.5
"1230","L1 7","gp",21,"c","0","-","-",6420,"L1",0.5,-0.5
"1237","L1 7","gp",14,"d","0","-","-",2886,"L1",0.5,0.5
"1244","L1 7","gp",24,"b","0","-","-",4844,"L1",-0.5,0.5
"1247","L1 7","gp",20,"b","0","-","-",3490,"L1",-0.5,0.5
"1279","L1 8","gp",23,"b","0","-","-",6232,"L1",-0.5,0.5
"1284","L1 8","gp",24,"c","0","-","-",3872,"L1",0.5,-0.5
"1290","L1 8","gp",7,"b","0","-","-",4641,"L1",-0.5,0.5
"1293","L1 8","gp",4,"c","0","-","-",6305,"L1",0.5,-0.5
"1300","L1 8","gp",5,"d","0","-","-",7006,"L1",0.5,0.5
"1307","L1 8","gp",13,"d","0","-","-",7778,"L1",0.5,0.5
"1314","L1 8","gp",2,"a","0","-","-",5274,"L1",-0.5,-0.5
"1318","L1 8","gp",15,"b","0","-","-",4925,"L1",-0.5,0.5
"1332","L1 8","gp",9,"d","0","-","-",8302,"L1",0.5,0.5
"1342","L1 8","gp",11,"b","0","-","-",3438,"L1",-0.5,0.5
"1349","L1 8","gp",19,"b","0","-","-",5899,"L1",-0.5,0.5
"1353","L1 8","gp",12,"c","0","-","-",7809,"L1",0.5,-0.5
"1356","L1 8","gp",3,"b","0","-","-",2689,"L1",-0.5,0.5
"1363","L1 8","gp",10,"a","0","-","-",7528,"L1",-0.5,-0.5
"1369","L1 8","gp",17,"d","0","-","-",4906,"L1",0.5,0.5
"1381","L1 8","gp",16,"c","0","-","-",8444,"L1",0.5,-0.5
"1388","L1 8","gp",18,"a","0","-","-",4533,"L1",-0.5,-0.5
"1391","L1 8","gp",8,"c","0","-","-",6370,"L1",0.5,-0.5
"1401","L1 8","gp",22,"a","0","-","-",6598,"L1",-0.5,-0.5
"1409","L1 8","gp",14,"a","0","-","-",4363,"L1",-0.5,-0.5
"1412","L1 8","gp",21,"d","0","-","-",8711,"L1",0.5,0.5
"1423","L1 8","gp",1,"d","0","-","-",4371,"L1",0.5,0.5
"1434","L1 8","gp",6,"a","0","-","-",7045,"L1",-0.5,-0.5
"1437","L1 8","gp",20,"c","0","-","-",6515,"L1",0.5,-0.5
"1455","L1 9","gp",6,"b","0","-","-",3668,"L1",-0.5,0.5
"1459","L1 9","gp",21,"a","0","-","-",3561,"L1",-0.5,-0.5
"1466","L1 9","gp",11,"c","0","-","-",3274,"L1",0.5,-0.5
"1469","L1 9","gp",9,"a","0","-","-",3906,"L1",-0.5,-0.5
"1475","L1 9","gp",15,"c","0","-","-",1759,"L1",0.5,-0.5
"1481","L1 9","gp",24,"d","0","-","-",2261,"L1",0.5,0.5
"1489","L1 9","gp",19,"c","0","-","-",3278,"L1",0.5,-0.5
"1498","L1 9","gp",16,"d","0","-","-",3657,"L1",0.5,0.5
"1509","L1 9","gp",12,"d","0","-","-",2346,"L1",0.5,0.5
"1515","L1 9","gp",17,"a","0","-","-",2438,"L1",-0.5,-0.5
"1519","L1 9","gp",8,"d","0","-","-",1924,"L1",0.5,0.5
"1528","L1 9","gp",23,"c","0","-","-",3034,"L1",0.5,-0.5
"1531","L1 9","gp",10,"b","0","-","-",2237,"L1",-0.5,0.5
"1539","L1 9","gp",2,"b","0","-","-",2298,"L1",-0.5,0.5
"1550","L1 9","gp",14,"b","0","-","-",1863,"L1",-0.5,0.5
"1560","L1 9","gp",20,"d","0","-","-",1826,"L1",0.5,0.5
"1568","L1 9","gp",3,"c","0","-","-",4858,"L1",0.5,-0.5
"1571","L1 9","gp",22,"b","0","-","-",4307,"L1",-0.5,0.5
"1589","L1 9","gp",4,"d","0","-","-",2224,"L1",0.5,0.5
"1597","L1 9","gp",18,"b","0","-","-",1731,"L1",-0.5,0.5
"1603","L1 9","gp",1,"a","0","-","-",5279,"L1",-0.5,-0.5
"1606","L1 9","gp",5,"a","0","-","-",1893,"L1",-0.5,-0.5
"1610","L1 9","gp",7,"c","0","-","-",1893,"L1",0.5,-0.5
"1614","L1 9","gp",13,"a","0","-","-",2852,"L1",-0.5,-0.5
"1634","L1 10","gp",23,"d","0","-","-",3322,"L1",0.5,0.5
"1637","L1 10","gp",19,"d","0","-","-",3324,"L1",0.5,0.5
"1644","L1 10","gp",1,"b","0","-","-",2786,"L1",-0.5,0.5
"1647","L1 10","gp",13,"b","0","-","-",3364,"L1",-0.5,0.5
"1654","L1 10","gp",11,"d","0","-","-",3327,"L1",0.5,0.5
"1662","L1 10","gp",3,"d","0","-","-",3137,"L1",0.5,0.5
"1669","L1 10","gp",20,"a","0","-","-",1933,"L1",-0.5,-0.5
"1682","L1 10","gp",7,"d","0","-","-",2838,"L1",0.5,0.5
"1694","L1 10","gp",5,"b","0","-","-",3016,"L1",-0.5,0.5
"1697","L1 10","gp",18,"c","0","-","-",2244,"L1",0.5,-0.5
"1704","L1 10","gp",10,"c","0","-","-",2871,"L1",0.5,-0.5
"1707","L1 10","gp",24,"a","0","-","-",3821,"L1",-0.5,-0.5
"1711","L1 10","gp",9,"b","0","-","-",2206,"L1",-0.5,0.5
"1717","L1 10","gp",2,"c","0","-","-",3470,"L1",0.5,-0.5
"1725","L1 10","gp",12,"a","0","-","-",4270,"L1",-0.5,-0.5
"1729","L1 10","gp",17,"b","0","-","-",2763,"L1",-0.5,0.5
"1733","L1 10","gp",22,"c","0","-","-",12641,"L1",0.5,-0.5
"1740","L1 10","gp",16,"a","0","-","-",2394,"L1",-0.5,-0.5
"1747","L1 10","gp",4,"a","0","-","-",2996,"L1",-0.5,-0.5
"1762","L1 10","gp",8,"a","0","-","-",3073,"L1",-0.5,-0.5
"1770","L1 10","gp",15,"d","0","-","-",4474,"L1",0.5,0.5
"1780","L1 10","gp",6,"c","0","-","-",7684,"L1",0.5,-0.5
"1794","L1 10","gp",21,"b","0","-","-",1074,"L1",-0.5,0.5
"1797","L1 10","gp",14,"c","0","-","-",2316,"L1",0.5,-0.5
"1815","L1 11","gp",19,"a","0","-","-",3279,"L1",-0.5,-0.5
"1821","L1 11","gp",11,"a","0","-","-",2995,"L1",-0.5,-0.5
"1827","L1 11","gp",7,"a","0","-","-",3600,"L1",-0.5,-0.5
"1837","L1 11","gp",8,"b","0","-","-",2706,"L1",-0.5,0.5
"1848","L1 11","gp",14,"d","0","-","-",3109,"L1",0.5,0.5
"1856","L1 11","gp",12,"b","0","-","-",2967,"L1",-0.5,0.5
"1859","L1 11","gp",15,"a","0","-","-",4749,"L1",-0.5,-0.5
"1867","L1 11","gp",24,"b","0","-","-",3191,"L1",-0.5,0.5
"1873","L1 11","gp",13,"c","0","-","-",4193,"L1",0.5,-0.5
"1876","L1 11","gp",23,"a","0","-","-",3415,"L1",-0.5,-0.5
"1880","L1 11","gp",16,"b","0","-","-",5233,"L1",-0.5,0.5
"1884","L1 11","gp",9,"c","0","-","-",4526,"L1",0.5,-0.5
"1891","L1 11","gp",17,"c","0","-","-",3022,"L1",0.5,-0.5
"1897","L1 11","gp",22,"d","0","-","-",3210,"L1",0.5,0.5
"1900","L1 11","gp",5,"c","0","-","-",5435,"L1",0.5,-0.5
"1904","L1 11","gp",21,"c","0","-","-",3656,"L1",0.5,-0.5
"1914","L1 11","gp",18,"d","0","-","-",1977,"L1",0.5,0.5
"1925","L1 11","gp",1,"c","0","-","-",4087,"L1",0.5,-0.5
"1936","L1 11","gp",20,"b","0","-","-",1941,"L1",-0.5,0.5
"1945","L1 11","gp",10,"d","0","-","-",4306,"L1",0.5,0.5
"1948","L1 11","gp",4,"b","0","-","-",2151,"L1",-0.5,0.5
"1956","L1 11","gp",2,"d","0","-","-",2578,"L1",0.5,0.5
"1966","L1 11","gp",3,"a","0","-","-",3701,"L1",-0.5,-0.5
"1977","L1 11","gp",6,"d","0","-","-",4051,"L1",0.5,0.5
"1994","L1 12","gp",13,"d","0","-","-",5306,"L1",0.5,0.5
"1997","L1 12","gp",5,"d","0","-","-",5089,"L1",0.5,0.5
"2004","L1 12","gp",1,"d","0","-","-",3199,"L1",0.5,0.5
"2010","L1 12","gp",3,"b","0","-","-",3676,"L1",-0.5,0.5
"2017","L1 12","gp",10,"a","0","-","-",9810,"L1",-0.5,-0.5
"2026","L1 12","gp",23,"b","0","-","-",2710,"L1",-0.5,0.5
"2033","L1 12","gp",19,"b","0","-","-",4359,"L1",-0.5,0.5
"2037","L1 12","gp",2,"a","0","-","-",5840,"L1",-0.5,-0.5
"2060","L1 12","gp",22,"a","0","-","-",3591,"L1",-0.5,-0.5
"2068","L1 12","gp",20,"c","0","-","-",5824,"L1",0.5,-0.5
"2072","L1 12","gp",11,"b","0","-","-",4620,"L1",-0.5,0.5
"2079","L1 12","gp",24,"c","0","-","-",3377,"L1",0.5,-0.5
"2086","L1 12","gp",18,"a","0","-","-",6482,"L1",-0.5,-0.5
"2093","L1 12","gp",4,"c","0","-","-",2373,"L1",0.5,-0.5
"2110","L1 12","gp",7,"b","0","-","-",2949,"L1",-0.5,0.5
"2113","L1 12","gp",8,"c","0","-","-",5621,"L1",0.5,-0.5
"2117","L1 12","gp",16,"c","0","-","-",3653,"L1",0.5,-0.5
"2120","L1 12","gp",14,"a","0","-","-",3988,"L1",-0.5,-0.5
"2130","L1 12","gp",21,"d","0","-","-",3360,"L1",0.5,0.5
"2134","L1 12","gp",17,"d","0","-","-",2369,"L1",0.5,0.5
"2137","L1 12","gp",12,"c","0","-","-",4045,"L1",0.5,-0.5
"2145","L1 12","gp",6,"a","0","-","-",5336,"L1",-0.5,-0.5
"2152","L1 12","gp",9,"d","0","-","-",2976,"L1",0.5,0.5
"2158","L1 12","gp",15,"b","0","-","-",2772,"L1",-0.5,0.5
"2175","L1 13","gp",24,"d","0","-","-",3708,"L1",0.5,0.5
"2179","L1 13","gp",12,"d","0","-","-",4317,"L1",0.5,0.5
"2190","L1 13","gp",4,"d","0","-","-",4336,"L1",0.5,0.5
"2198","L1 13","gp",7,"c","0","-","-",2347,"L1",0.5,-0.5
"2204","L1 13","gp",14,"b","0","-","-",3931,"L1",-0.5,0.5
"2212","L1 13","gp",8,"d","0","-","-",3724,"L1",0.5,0.5
"2218","L1 13","gp",2,"b","0","-","-",2731,"L1",-0.5,0.5
"2229","L1 13","gp",19,"c","0","-","-",3818,"L1",0.5,-0.5
"2232","L1 13","gp",16,"d","0","-","-",3495,"L1",0.5,0.5
"2239","L1 13","gp",21,"a","0","-","-",4732,"L1",-0.5,-0.5
"2246","L1 13","gp",11,"c","0","-","-",3735,"L1",0.5,-0.5
"2252","L1 13","gp",10,"b","0","-","-",3757,"L1",-0.5,0.5
"2258","L1 13","gp",23,"c","0","-","-",7727,"L1",0.5,-0.5
"2262","L1 13","gp",13,"a","0","-","-",9750,"L1",-0.5,-0.5
"2266","L1 13","gp",22,"b","0","-","-",4565,"L1",-0.5,0.5
"2269","L1 13","gp",9,"a","0","-","-",9058,"L1",-0.5,-0.5
"2272","L1 13","gp",1,"a","0","-","-",5611,"L1",-0.5,-0.5
"2275","L1 13","gp",20,"d","0","-","-",3348,"L1",0.5,0.5
"2282","L1 13","gp",15,"c","0","-","-",6835,"L1",0.5,-0.5
"2292","L1 13","gp",5,"a","0","-","-",6660,"L1",-0.5,-0.5
"2296","L1 13","gp",3,"c","0","-","-",9735,"L1",0.5,-0.5
"2303","L1 13","gp",18,"b","0","-","-",4987,"L1",-0.5,0.5
"2307","L1 13","gp",6,"b","0","-","-",4293,"L1",-0.5,0.5
"2313","L1 13","gp",17,"a","0","-","-",3640,"L1",-0.5,-0.5
"2355","L1 14","gp",19,"d","0","-","-",3836,"L1",0.5,0.5
"2362","L1 14","gp",11,"d","0","-","-",4360,"L1",0.5,0.5
"2372","L1 14","gp",17,"b","0","-","-",3997,"L1",-0.5,0.5
"2380","L1 14","gp",18,"c","0","-","-",4315,"L1",0.5,-0.5
"2383","L1 14","gp",8,"a","0","-","-",5357,"L1",-0.5,-0.5
"2390","L1 14","gp",15,"d","0","-","-",3051,"L1",0.5,0.5
"2396","L1 14","gp",23,"d","0","-","-",3345,"L1",0.5,0.5
"2407","L1 14","gp",21,"b","0","-","-",2738,"L1",-0.5,0.5
"2414","L1 14","gp",20,"a","0","-","-",3573,"L1",-0.5,-0.5
"2417","L1 14","gp",5,"b","0","-","-",3255,"L1",-0.5,0.5
